Characters: 0, Count: 0
Characters: 1, Count: 0
Characters: 2, Count: 0
Characters: 3, Count: 3
Characters: 4, Count: 810
Characters: 5, Count: 903
Characters: 6, Count: 3176
Characters: 7, Count: 1771
Characters: 8, Count: 2972
Characters: 9, Count: 219
Characters: 10, Count: 94
Characters: 11, Count: 28
Characters: 12, Count: 21
Characters: 13, Count: 1
Characters: 14, Count: 0
Characters: 15, Count: 1
Characters: 16, Count: 1
Characters: 17, Count: 0
Characters: 18, Count: 0
Characters: 19, Count: 0
